date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:26	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Aug%202020%2006:10:25%20GMT	http://nacfolg.com/robots.txt		(from )
11:40:26	2365/2365	---M-Z	200	added ('OK')	text/html	etag:%22615784a8415bd61:0%22	http://nacfolg.com/happyos/	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/index.html	(from )
11:40:26	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Aug%202020%2006:10:26%20GMT	http://nacfolg.com/happyos/img/core-img/logo.ico	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/img/core-img/logo.0.delayed	(from http://nacfolg.com/happyos/)
11:40:27	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Aug%202020%2006:10:26%20GMT	http://nacfolg.com/happyos/back/index.html	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/back/index.2.delayed	(from http://nacfolg.com/happyos/)
11:40:28	33577/33577	---M-Z	200	added ('OK')	text/css	etag:%2266d41c2e5485d41:0%22	http://nacfolg.com/happyos/css/style.css	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/css/style.css	(from http://nacfolg.com/happyos/)
11:40:29	4716/4716	---M-Z	200	added ('OK')	text/html	etag:%222a7f6cfc3e66d61:0%22	http://nacfolg.com/happyos/loginpage/index.html	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/loginpage/index.html	(from http://nacfolg.com/happyos/)
11:40:32	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%22454d65221283d41:0%22	http://nacfolg.com/happyos/js/bootstrap.min.js	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/js/bootstrap.min.js	(from http://nacfolg.com/happyos/)
11:40:32	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:%227fac6a241283d41:0%22	http://nacfolg.com/happyos/js/owl.carousel.min.js	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/js/owl.carousel.min.js	(from http://nacfolg.com/happyos/)
11:40:33	1928/1928	---M-Z	200	added ('OK')	application/javascript	etag:%2218932d231283d41:0%22	http://nacfolg.com/happyos/js/main.js	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/js/main.js	(from http://nacfolg.com/happyos/)
11:40:33	20269/20269	---M-Z	200	added ('OK')	application/javascript	etag:%22d4126a221283d41:0%22	http://nacfolg.com/happyos/js/jquery.magnific-popup.js	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/js/jquery.magnific-popup.js	(from http://nacfolg.com/happyos/)
11:40:35	85582/85582	---M-Z	200	added ('OK')	application/javascript	etag:%223bdad6231283d41:0%22	http://nacfolg.com/happyos/js/jquery.min.js	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/js/jquery.min.js	(from http://nacfolg.com/happyos/)
11:40:38	184128/184128	---M--	200	added ('OK')	image/png	etag:%22d8236ed89a56d61:0%22	http://nacfolg.com/happyos/img/1.png	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/img/1.png	(from http://nacfolg.com/happyos/)
11:40:38	124962/124962	---M-Z	200	added ('OK')	text/css	etag:%2202648985d12d31:0%22	http://nacfolg.com/happyos/loginpage/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/loginpage/vendor/bootstrap/css/bootstrap.min.css	(from http://nacfolg.com/happyos/loginpage/index.html)
11:40:39	32038/32038	---M--	200	added ('OK')	image/x-icon	etag:%220aef8e77b54d11:0%22	http://nacfolg.com/happyos/loginpage/images/icons/favicon.ico	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/loginpage/images/icons/favicon.ico	(from http://nacfolg.com/happyos/loginpage/index.html)
11:40:39	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%22081bfd126d4d21:0%22	http://nacfolg.com/happyos/loginpage/fonts/font-awesome-4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/loginpage/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from http://nacfolg.com/happyos/loginpage/index.html)
11:40:40	23848/23848	---M-Z	200	added ('OK')	text/css	etag:%2208d5f9422d31:0%22	http://nacfolg.com/happyos/loginpage/vendor/animate/animate.css	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/loginpage/vendor/animate/animate.css	(from http://nacfolg.com/happyos/loginpage/index.html)
11:40:40	15196/15196	---M-Z	200	added ('OK')	text/css	etag:%2202f5cd941cd31:0%22	http://nacfolg.com/happyos/loginpage/vendor/select2/select2.min.css	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/loginpage/vendor/select2/select2.min.css	(from http://nacfolg.com/happyos/loginpage/index.html)
11:40:41	83645/83645	---M-Z	200	added ('OK')	text/css	etag:%220c9a6374a84d31:0%22	http://nacfolg.com/happyos/loginpage/css/util.css	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/loginpage/css/util.css	(from http://nacfolg.com/happyos/loginpage/index.html)
11:40:42	12113/12113	---M-Z	200	added ('OK')	text/html	etag:%2219c382553e64d61:0%22	http://nacfolg.com/happyos/gull/html/layout1/branch_add.html	C:/My%20Web%20Sites/Happyos/nacfolg.com/happyos/gull/html/layout1/branch_add.html	(from http://nacfolg.com/happyos/loginpage/index.html)
